name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Boston,2024-05-27,73.2,59.1,64.1,73.2,59.1,64.1,61.7,92.4,0.012,100,4.17,rain,0,0,28.1,18.3,108.5,1013.6,99,5,118.8,10.3,5,10,2024-05-27T05:12:33,2024-05-27T20:10:59,0.65,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-28,83,66,73.7,83.3,66,73.9,61.8,70.1,0.391,100,16.67,rain,0,0,30.2,19.4,232.8,1004.5,70.2,9.5,169.1,14.4,9,30,2024-05-28T05:11:57,2024-05-28T20:11:50,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-29,74.1,61.2,67,74.1,61.2,67,54.3,64.5,0,0,0,,0,0,17.2,14.1,294.4,1010.3,51.9,9.9,167.9,14.4,7,10,2024-05-29T05:11:22,2024-05-29T20:12:40,0.72,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-30,61.2,53.1,57.1,61.2,53.1,57.1,52.6,85.4,1.425,100,50,rain,0,0,28.8,18.1,15.4,1013.5,90.6,8.3,101.6,8.7,8,10,2024-05-30T05:10:50,2024-05-30T20:13:28,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-31,75.9,53.8,65.9,75.9,53.8,65.9,41.6,44.8,0,0,0,,0,0,27.3,16,312.2,1017,45.6,9.9,232.5,20.1,9,10,2024-05-31T05:10:20,2024-05-31T20:14:15,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-01,80.1,58.6,68.9,79,58.6,68.8,42.9,41,0,0,0,,0,0,24.2,11.2,290.3,1018.2,23.7,9.9,300.4,26.1,9,10,2024-06-01T05:09:51,2024-06-01T20:15:01,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-02,82,53.9,67.1,80.1,53.9,67,54,65.4,0,0,0,,0,0,17.7,15.7,144,1016.1,48.2,9.9,257.9,22.2,8,10,2024-06-02T05:09:25,2024-06-02T20:15:46,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-03,75,60.3,68.2,75,60.3,68.2,54.1,62.6,0,0,0,,0,0,18.8,13.8,55.2,1013.1,62.4,9.9,264.9,22.8,8,10,2024-06-03T05:09:01,2024-06-03T20:16:29,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-04,66.3,56.8,62.6,66.3,56.8,62.6,56.7,81.5,0,0,0,,0,0,16.6,12.6,94.3,1016.8,47.8,9.9,293,25.4,8,10,2024-06-04T05:08:39,2024-06-04T20:17:11,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-05,84.9,58.9,71.2,84.5,58.9,71.2,58.2,65.7,0,0,0,,0,0,26.6,15.9,219.7,1011.9,64.3,9.9,239,20.6,10,10,2024-06-05T05:08:19,2024-06-05T20:17:51,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-06,70.2,61.2,67,70.2,61.2,67,64.3,91.2,0,0,0,,0,0,19.9,16.9,113.8,1003.2,92.4,7.3,106.8,9.2,6,10,2024-06-06T05:08:01,2024-06-06T20:18:30,0,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-07,69.5,61.2,65.6,69.5,61.2,65.6,61.5,87,0.02,100,8.33,rain,0,0,19,15.8,69.6,1001.1,80.6,8.5,187.9,16.2,8,10,2024-06-07T05:07:46,2024-06-07T20:19:07,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-08,74.9,60.9,68.1,74.9,60.9,68.1,52.3,58.7,0.019,100,4.17,rain,0,0,33.3,22.8,269.4,1004,55.4,9.8,287.5,24.9,10,10,2024-06-08T05:07:32,2024-06-08T20:19:43,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-09,70.1,57.9,64.8,70.1,57.9,64.8,53,66.5,0.232,100,16.67,rain,0,0,32.2,14.7,260.1,1002,80.5,9.1,126.5,10.9,7,10,2024-06-09T05:07:20,2024-06-09T20:20:17,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-10,76.9,58.9,67.4,76.9,58.9,67.4,50.3,55.4,0,0,0,,0,0,29.8,19.5,261.9,1001.7,44.9,9.9,314.6,27,10,10,2024-06-10T05:07:11,2024-06-10T20:20:49,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-11,71,58.8,64.5,71,58.8,64.5,53.6,68.4,0,0,0,,0,0,13.9,12.3,279.8,1011.6,71.3,9.9,173,14.8,8,10,2024-06-11T05:07:04,2024-06-11T20:21:20,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-12,73.2,60.1,67.4,73.2,60.1,67.4,57.8,72.1,0,0,0,,0,0,13.2,14.7,110.8,1014.6,70.2,9.9,142.2,12.3,9,10,2024-06-12T05:06:58,2024-06-12T20:21:48,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-13,82.2,61.8,72.7,82.6,61.8,72.7,55.9,56.7,0,0,0,,0,0,22.4,14.9,225.7,1014.6,28.4,9.9,302,26.2,9,10,2024-06-13T05:06:55,2024-06-13T20:22:16,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-14,83.9,65.9,71.2,85.7,65.9,71.5,62.1,73.8,0.346,100,25,rain,0,0,39.7,18.1,212.4,1011,70.9,9.6,183.9,15.8,8,30,2024-06-14T05:06:54,2024-06-14T20:22:41,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-15,75.9,64.1,70.5,75.9,64.1,70.5,52.7,58.3,0.242,100,20.83,rain,0,0,27.7,18,325.7,1013.6,49.3,9.4,279.6,24.2,9,10,2024-06-15T05:06:55,2024-06-15T20:23:04,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-16,66.2,56.6,63.1,66.2,56.6,63.1,45.9,53.8,0,0,0,,0,0,15.9,13.7,88.8,1023.4,47.6,9.9,291.5,25.1,8,10,2024-06-16T05:06:58,2024-06-16T20:23:26,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-17,80.1,60,70.2,81.2,60,70.2,57.8,65.7,0,0,0,,0,0,25.1,17.1,200.3,1021.9,79.5,9.9,249.1,21.3,9,10,2024-06-17T05:07:03,2024-06-17T20:23:46,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-18,92,67.9,78.4,97.3,67.9,80.6,66.5,67.8,0,0,0,,0,0,20.8,14.7,197.6,1022,47.8,9.9,285.2,24.6,8,30,2024-06-18T05:07:11,2024-06-18T20:24:03,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-06-19,98,71.1,81.8,107.5,71.1,85.3,67.6,62.9,0,0,0,,0,0,29.8,16.9,221.3,1024.6,64,9.9,270.9,23.3,8,30,2024-06-19T05:07:20,2024-06-19T20:24:19,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
